title,world_revenue,distributor
Tall: The American Skyscraper and Louis Sullivan,"$7,216 ",The Cinema Guild
Summer of '67,"$8,941 ",Mainstreet Productions
Blood Feast,"$8,708 ",Hannover House
Step Up: High Water,"$9,005 ",Fathom Events
Spettacolo,"$32,494 ",Grasshopper Film
El Mar La Mar,"$9,065 ",The Cinema Guild
Legend of the Mountain,"$7,640 ",Kino Lorber
Dark River,"$239,182 ",FilmRise
The Crime of Monsieur Lange,"$38,002 ",Rialto Pictures
Un traductor,"$78,075 ",Film Movement
Beauty and the Dogs,"$167,723 ",Oscilloscope
Please Stand By,"$406,732 ",Magnolia Pictures
Zoo Wars,"$8,998 ",Parade Deck Films
Survivors Guide To Prison,"$8,982 ",Gravitas Ventures
Dying to Know: Ram Dass & Timothy Leary,"$16,397 ",GathrFilms
Strangers on the Earth,"$9,518 ",First Run
That Summer,"$44,659 ",IFC Films
The Quest of Alain Ducasse,"$9,627 ",Magnolia Pictures
River Runs Red,"$61,789 ",Cinedigm Entertainment Group
Wedding Party 2,"$109,459 ",IronFlix
Furious,"$10,433,259 ",Carusel
Bullitt County,"$11,257 ",Mr. Pictures
Embrace: The Documentary,"$1,155,263 ",GathrFilms
Mama Africa,"$10,430 ",ArtMattan Productions
Sicilian Ghost Story,"$204,892 ",Strand Releasing
Heavy Trip,"$22,460 ",Music Box Films
Class Rank,"$10,452 ",Cinedigm Entertainment Group
Rendezvous in July,"$11,321 ",Rialto Pictures
The Advocates,"$10,402 ",Cinema Libre Studio
The Samuel Project,"$161,565 ",in8 Releasing
The Assassin's Code,"$53,940 ",Gravitas Ventures
Summer '03,"$11,746 ",Blue Fox Entertainment
Les Parents Terribles,"$11,818 ",Cohen Media Group
Victoria & Abdul,"$66,558,465 ",Focus Features
The Public Image is Rotten,"$14,464 ",Abramorama
The Most Unknown,"$12,119 ",Abramorama
Souvenir,"$359,798 ",Strand Releasing
Hannah,"$146,325 ",Parade Deck Films
Tyrel,"$21,456 ",Magnolia Pictures
Head Full of Honey,"$138,844 ",Warner Bros.
My Art,"$12,554 ",Film Movement
This is Our Land,"$16,182 ",Distrib Films
The Last Race,"$11,947 ",Magnolia Pictures
Minding the Gap,"$90,328 ",Magnolia Pictures
Return of the Hero,"$7,362,730 ",Distrib Films
Quest,"$50,022 ",First Run
American Chaos,"$12,368 ",Sony Pictures Classics
Stavisky...,"$13,793 ",Rialto Pictures
Let Yourself Go,"$2,140,190 ",Menemsha Films
Novitiate,"$580,346 ",Sony Pictures Classics
The Boy Downstairs,"$73,988 ",FilmRise
American Socialist: The Life and Times of Eugene Victor Debs,"$12,609 ",First Run
How Viktor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,"$112,071 ",Carusel
Like Me,"$12,965 ",Kino Lorber
Here and Now,"$61,271 ",AMBI Distribution
"Lou Andreas-Salomé, The Audacity to be Free","$278,982 ",Cinema Libre Studio
PGS: Intuition Is Your Personal Guidance System,"$35,423 ",GathrFilms
Shed Skin Papa,"$1,278,065 ",China Lion Film Distribution
Our Blood is Wine,"$13,210 ",Music Box Films
A Prayer Before Dawn,"$958,883 ",A24
Thelma,"$1,463,727 ",The Orchard
Chasing the Blues,"$14,030 ",Ammo Content
The Escape,"$390,881 ",IFC Films
Weed the People,"$13,926 ",Abramorama
Trust Machine: The Story of Blockchain,"$14,905 ",SingularDTV
The Lucky Man,"$25,015 ",Indican Pictures
When You Read This Letter,"$15,552 ",Rialto Pictures
Bob le Flambeur,"$15,586 ",Rialto Pictures
Narcissister Organ Player,"$15,334 ",Film Movement
Ichi the Killer,"$20,285 ",Well Go USA Entertainment
Out on Stage,"$15,623 ",Fathom Events
"Intent to Destroy: Death, Denial & Depiction","$18,340 ",GathrFilms
Just One Drop,"$60,078 ",GathrFilms
The Last Movie Star,"$14,410 ",A24
Haikara-San: Here Comes Miss Modern,"$16,572 ",Eleven Arts
The Charmer,"$106,379 ",Film Movement
People's Republic of Desire,"$15,241 ",Tripod Media
Batman: Mask of the Phantasm,"$17,813 ",Fathom Events
Marlina the Murderer in Four Acts,"$26,331 ",Icarus Films
Allegiance to Broadway,"$18,527 ",Fathom Events
Maquia: When the Promised Flower Blooms,"$2,569,927 ",Eleven Arts
Mrs. Hyde,"$778,142 ",Cartilage Films
Life and Nothing More,"$40,581 ",CFI Releasing
Crime + Punishment,"$18,644 ",IFC Films
Anything,"$19,037 ",Paladin
Heading Home: The Tale of Team Israel,"$207,533 ",Menemsha Films
The Chronicle of Anna Magdalena Bach,"$17,527 ",Grasshopper Film
"A Bread Factory, Part One/A Bread Factory, Part Two","$17,325 ",In the Family
Revival,"$17,252 ",TriCoast Worldwide
King of Hearts,"$18,130 ",Cohen Media Group
Who We Are Now,"$19,128 ",FilmRise
306 Hollywood,"$18,399 ",El Tigre
Gabriel and the Mountain,"$505,769 ",Strand Releasing
God's Own Country,"$2,559,939 ",Orion Pictures
Freak Show,"$20,657 ",IFC Films
Active Measures,"$19,862 ",Super
November,"$19,084 ",Oscilloscope
The Devil and Father Amorth,"$20,449 ",The Orchard
Ice Dragon: Legend of the Blue Daisies,"$20,549 ",Fathom Events
To the Arctic 3D,"$23,692,624 ",Warner Bros.
The Happys,"$21,108 ",Indican Pictures
Eight Hours Don't Make a Day,"$19,987 ",Janus Films
"One Sings, the Other Doesn't","$19,919 ",Janus Films
Journey to the South Pacific,"$14,977,023 ",IMAX
Primal Rage: The Legend of Konga,"$73,383 ",Fathom Events
Apocalypsis,"$20,052 ",Indican Pictures
The Last Resort,"$158,646 ",Kino Lorber
The Tag Along: Devil Fish,"$153,895 ",China Lion Film Distribution
Did You Wonder Who Fired the Gun?,"$20,765 ",Grasshopper Film
Izzy Gets the F*ck Across Town,"$20,208 ",Shout! Factory
Ganja & Hess,"$21,197 ",Kino Lorber
The Workshop,"$1,000,056 ",Strand Releasing
Winning Formula,"$22,189 ",Indican Pictures
The Female Brain,"$21,786 ",IFC Films
Ava,"$20,940 ",Grasshopper Film
Loving Pablo,"$17,535,962 ",Universal Pictures
Swimming with Men,"$1,377,748 ",IFC Films
Death House,"$23,833 ",Hannover House
Half the Picture,"$21,589 ",Gravitas Ventures
A Paris Education,"$109,386 ",Kino Lorber
The Atomic Cafe,"$22,293 ",Kino Lorber
An Elephant's Journey,"$24,844 ",Fathom Events
No Intenso Agora,"$38,223 ",Icarus Films
Jet Trash,"$26,002 ",Indican Pictures
The Judge,"$23,127 ",Idle Wild Films
Birdboy: The Forgotten Children,"$52,366 ",GKIDS
Let There Be Light,"$7,233,471 ",Atlas Distribution Company
Vazante,"$25,091 ",Music Box Films
Take Point,"$12,908,032 ",CJ Entertainment
The Divine Order,"$195,081 ",Zeitgeist Films
Ridge Runners,"$26,019 ",Indican Pictures
The Misandrists,"$26,123 ",Cartilage Films
Letter from Masanjia,"$23,481 ",Ammo Content
Elliot the Littlest Reindeer,"$1,142,187 ",Screen Media Films
Milford Graves Full Mantis,"$26,566 ",The Cinema Guild
Senso,"$27,723 ",Rialto Pictures
The Amendment,"$27,961 ",Fathom Events
Quai des Orfèvres,"$28,013 ",Rialto Pictures
Restoring Tomorrow,"$28,556 ",Fathom Events
Belle de Jour,"$38,342 ",Janus Films
The Desert Bride,"$205,350 ",Strand Releasing
Cold Water,"$30,209 ",Janus Films
Same Kind of Different as Me,"$6,423,605 ",Pure Flix Entertainment
Horn from the Heart: The Paul Butterfield Story,"$58,597 ",Abramorama
The Cured,"$323,776 ",IFC Films
On Her Shoulders,"$40,145 ",Oscilloscope
Poor Boy,"$31,031 ",Indican Pictures
The Apparition,"$3,562,793 ",Music Box Films
Charm City,"$29,335 ",PBS Distribution
Saving Brinton,"$56,218 ",Barn Owl Pictures
Desolation,"$18,490 ",Parade Deck Films
Memories of Underdevelopment,"$29,647 ",Janus Films
The Mercy,"$306,205 ",Screen Media Films
Good Manners,"$35,714 ",Distrib Films
Sollers Point,"$32,608 ",Oscilloscope
"No Date, No Signature","$107,368 ",Distrib Films
BPM (Beats Per Minute),"$7,704,369 ",The Orchard
Just Getting Started,"$7,634,022 ",Broad Green Pictures
Moynihan,"$31,970 ",First Run
For Those Who Don't Read Me,"$36,506 ",Entertainment One
The Big Bad Fox and Other Tales,"$9,422,127 ",GKIDS
Liyana,"$44,045 ",Abramorama
Goodland,"$32,140 ",Parade Deck Films
