title,world_revenue,distributor
The Pathological Optimist,"$11,222 ",The Film Arcade
Sympathy for the Devil,"$112,614 ",eOne Entertainment
Footnotes,"$6,660 ",Monument Releasing
Under the Silver Lake,"$2,053,469 ",A24
The Happy Prince,"$2,621,992 ",Sony Pictures Classics
The Final Wish,"$88,589 ",Fathom Events
Suntan,"$157,267 ",Strand Releasing
The Bounty Killer,"$48,815 ",Indican Pictures
The Jazz Funeral,"$7,103 ",Indican Pictures
Another WolfCop,"$7,285 ",Parade Deck Films
¡He matado a mi marido!,"$68,017 ","Hammond Entertainment, LLC"
Free Trip to Egypt,"$49,693 ",Independent
Bilal: A New Breed of Hero,"$576,805 ",Vertical Entertainment
Monsters and Men,"$510,967 ",Neon
The Sandlot,"$516,130 ",Fathom Events
Bullitt,"$511,350 ",Fathom Events
Castle in the Sky,"$557,541 ",Fathom Events
Grave of the Fireflies,"$516,962 ",Fathom Events
"Love, Antosha","$75,308 ",Lurker Films
Fireworks,"$25,672,406 ",GKIDS
Clinton Road,"$50,400 ",Nocturnal Features
The Great Battle,"$41,509,280 ",Well Go USA Entertainment
Dragon Ball Z: Bardock - The Father of Goku/Dragon Ball Z: Fusion Reborn,"$540,707 ",Fathom Events
Die Hard,"$620,525 ",Fathom Events
The Children Act,"$17,696,794 ",A24
The Spy Gone North,"$38,844,509 ",CJ Entertainment
The Room,"$572,340 ",Fathom Events
Anna and the Apocalypse,"$670,430 ",Orion Pictures
The Ex-File 3: The Return of The Exes,"$307,592,427 ",China Lion Film Distribution
The Cat Returns,"$563,718 ",Fathom Events
The Queen,"$47,818 ",Kino Lorber
The Wrong Light,"$7,553 ",The Cinema Guild
Overdrive,"$9,650,552 ",Vertical Entertainment
The Ballad of Lefty Brown,"$7,856 ",A24
From Nowhere,"$8,109 ",FilmRise
Served Like a Girl,"$8,290 ",Entertainment Studios Motion Pictures
Natasha,"$8,325 ",Menemsha Films
Heavy Water,"$99,503 ",Fathom Events
Birthright: A War Story,"$7,519 ",Abramorama
Big Time,"$7,347 ",Abramorama
The Hate U Give,"$34,934,009 ",Twentieth Century Fox
John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795 ",Fathom Events
Swept Away,"$7,876 ",Kino Lorber
Mr. Chibbs,"$8,302 ",Abramorama
The Riot and the Dance,"$316,103 ",Fathom Events
Husband Material,"$1,016,545 ",Eros International
Loveless,"$3,925,992 ",Sony Pictures Classics
The Big Lebowski,"$592,832 ",Fathom Events
Pick of the Litter,"$763,688 ",IFC Films
We Are the Flesh,"$8,438 ",Arrow Films
Maria By Callas,"$2,185,562 ",Sony Pictures Classics
Mickey and the Bear,"$57,188 ",Utopia
Maurizio Cattelan: Be Right Back,"$7,706 ",Bond/360
Burning,"$7,566,962 ",Well Go USA Entertainment
The Grateful Dead Meet-Up 2018,"$600,554 ",Fathom Events
"DCI 2019: Big, Loud & Live 16","$603,320 ",Fathom Events
Marshall,"$10,116,816 ",Open Road Films (II)
The Walking Dead: Wrath/The Walking Dead/Fear the Walking Dead: What's Your Story?/Fear the Walking Dead,"$605,764 ",Fathom Events
Félicité,"$265,495 ",Strand Releasing
The Florida Project,"$10,971,298 ",A24
Last Year at Marienbad,"$68,402 ",Janus Films
The Sound of Music,"$624,392 ",Fathom Events
Foxtrot,"$1,356,159 ",Sony Pictures Classics
The Transformers,"$619,597 ",Fathom Events
Painted Woman,"$10,298 ",Amor Media
Irreplaceable,"$15,130,912 ",Distrib Films
Inspector Maigret,"$8,528 ",Kino Lorber
The Eyes,"$9,104 ",Parade Deck Films
Itzhak,"$704,968 ",Greenwich Entertainment
Sauvage / Wild,"$317,536 ",Strand Releasing
The Mountain,"$61,035 ",Kino Lorber
Amnesia,"$8,700 ",Film Movement
Lycan,"$9,110 ",Parade Deck Films
By the Grace of God,"$7,754,582 ",Music Box Films
Clarence,"$10,495 ",Indican Pictures
The Fiancé,"$23,986 ",Indican Pictures
Lovesong,"$10,626 ",Strand Releasing
Harry & Snowman,"$578,820 ",FilmRise
Amelia 2.0,"$10,233 ",TriCoast Worldwide
Remember the Goal,"$119,100 ",Five & Two Pictures
Thirst Street,"$9,129 ",The Samuel Goldwyn Company
In Search of Fellini,"$25,269 ",AMBI Distribution
This Changes Everything,"$125,348 ",Fathom Events
End of the Century,"$66,309 ",The Cinema Guild
The Sunshine Makers,"$10,042 ",FilmRise
Beautiful Boy,"$16,636,604 ",Amazon Studios
Machines,"$14,331 ",Kino Lorber
Pelle the Conqueror,"$9,757 ",Film Movement
Dragon Ball Z: Broly - The Legendary Super Saiyan,"$658,982 ",Fathom Events
Lizzie,"$844,786 ",Roadside Attractions
The Silence of Others,"$289,455 ",Argot Pictures
Cunningham,"$242,942 ",Magnolia Pictures
Ponyo,"$653,072 ",Fathom Events
Being Frank,"$67,343 ",The Film Arcade
Bombshell: The Hedy Lamarr Story,"$1,092,277 ",Zeitgeist Films
The Trump Prophecy,"$671,198 ",Fathom Events
Vox Lux,"$1,399,272 ",Neon
The Divine Move 2: The Wrathful,"$15,642,991 ",CJ Entertainment
Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,"$695,130 ",Fathom Events
The Body,"$159,317 ",Eros International
"Love, Gilda","$626,318 ",Magnolia Pictures
Blaze,"$704,955 ",IFC Films
Monster Hunt 2,"$361,682,618 ",Lionsgate
Porto,"$90,849 ",Kino Lorber
The Island,"$198,326,350 ",Well Go USA Entertainment
Permanent,"$12,847 ",Magnolia Pictures
Boundaries,"$755,977 ",Sony Pictures Classics
Mifune: The Last Samurai,"$62,279 ",Strand Releasing
Ugetsu,"$24,959 ",Janus Films
The Challenge,"$11,043 ",Kino Lorber
Blind,"$98,280 ",Vertical Entertainment
The Magnificent Seven,"$162,360,636 ",Sony Pictures Releasing
I Can Speak,"$24,024,444 ",CJ Entertainment
Sweet Virginia,"$14,725 ",IFC Films
The Son of Joseph,"$38,774 ",Kino Lorber
Beside Bowie: The Mick Ronson Story,"$11,400 ",Parade Deck Films
Dead Awake,"$21,675 ",FilmRise
Saigon Bodyguards,"$11,314 ",CJ Entertainment
Seven Beauties,"$12,408 ",Kino Lorber
Staying Vertical,"$456,271 ",Strand Releasing
Frank Serpico,"$11,925 ",IFC Films
Keep Quiet,"$50,451 ",Kino Lorber
4 Days in France,"$12,273 ",The Cinema Guild
Batman Returns,"$80,699 ",Fathom Events
Heal,"$12,668 ",Paladin
Free Trip to Egypt,"$71,087 ",Fathom Events
5B,"$72,968 ",Verizon Media/RYOT
Cliffs of Freedom,"$300,842 ",Round Hill Media
Edie,"$2,729,518 ",Music Box Films
Diamantino,"$235,041 ",Kino Lorber
Fast Color,"$76,916 ",Lionsgate
Christ Stopped at Eboli,"$78,736 ",Rialto Pictures
The Battle of Jangsari,"$7,693,800 ",Well Go USA Entertainment
Styx,"$118,188 ",Film Movement
"Hale County This Morning, This Evening","$112,282 ",The Cinema Guild
Storm Boy,"$4,252,706 ",Good Deed Entertainment
Working Woman,"$201,875 ",Zeitgeist Films
3 Faces,"$2,191,516 ",Kino Lorber
The Little Stranger,"$1,824,902 ",Focus Features
HBO Boxing: Canelo Alvarez vs. Gennady Golovkin II,"$707,875 ",Fathom Events
Triple Threat,"$345,900 ",Well Go USA Entertainment
Mirai,"$27,526,961 ",GKIDS
The Catcher Was a Spy,"$953,953 ",IFC Films
Ploey,"$6,146,292 ",Viva Pictures Distribution
Savage,"$4,140,502 ",Well Go USA Entertainment
A Faithful Man,"$1,720,605 ",Kino Lorber
1945,"$1,240,663 ",Menemsha Films
On Chesil Beach,"$3,335,913 ",Bleecker Street Media
How Long Will I Love U,"$136,796,719 ",Well Go USA Entertainment
Pokémon the Movie: The Power of Us,"$23,740,788 ",Fathom Events
The Party,"$5,597,950 ",Roadside Attractions
Border,"$2,177,678 ",Neon
Made in India,"$1,594,164 ",Yash Raj Films
Beast,"$1,744,071 ",Roadside Attractions
The Metropolitan Opera HD Live: Nico Muhly: Marnie,"$865,551 ",Fathom Events
Like Arrows,"$928,265 ",Fathom Events
Schindler's List,"$937,140 ",Universal Pictures
BANDSTAND: The Broadway Musical on Screen,"$839,554 ",Fathom Events
Junction 48,"$12,795 ",The Orchard
Tea With the Dames,"$3,181,152 ",IFC Films
The Polar Express,"$731,018 ",Warner Bros.
In the Fade,"$5,104,991 ",Magnolia Pictures
Charged: The Eduardo Garcia Story,"$15,920 ",GathrFilms
Legend of the Naga Pearls,"$17,274,695 ",Well Go USA Entertainment
Birdboy: The Forgotten Children,"$52,366 ",GKIDS
Time to Die,"$13,707 ",Film Movement
Abracadabra,"$2,114,260 ",Sony Pictures Releasing
Swing Kids,"$10,397,408 ",Well Go USA Entertainment
The Beatles: Eight Days a Week - The Touring Years,"$12,283,800 ",Abramorama
Taipei Story,"$12,897 ",Janus Films
High Strung Free Dance,"$98,481 ",Atlas Distribution Company
"Intent to Destroy: Death, Denial & Depiction","$13,194 ",Abramorama
Once Upon a Deadpool,"$51,247,568 ",Twentieth Century Fox
The Old Man & the Gun,"$17,860,397 ",Fox Searchlight Pictures
Saint Judy,"$96,212 ",Blue Fox Entertainment
Cyrano de Bergerac,"$86,300 ",Fathom Events
After Love,"$1,728,251 ",Distrib Films
Red Trees,"$13,666 ",Cohen Media Group
The Heiresses,"$811,196 ",Distrib Films
Skid Row Marathon,"$84,997 ",Fathom Events
Ms. Purple,"$80,657 ",Oscilloscope
Looking Up,"$122,994,583 ",China Lion Film Distribution
Woodstock,"$84,440 ",PBS Distribution
Kedarnath,"$1,538,846 ",PackYourBag Films
Let the Sunshine In,"$4,192,590 ",IFC Films
Papi Chulo,"$94,321 ",Blue Fox Entertainment
The Star,"$62,812,974 ",Sony Pictures Releasing
Mayday Life,"$7,435,496 ",China Lion Film Distribution
The Dawn Wall,"$1,442,013 ",Fathom Events
Film Stars Don't Die in Liverpool,"$4,047,917 ",Sony Pictures Classics
Kirk Cameron: Connect,"$918,127 ",Fathom Events
White Christmas,"$928,298 ",Fathom Events
Tiger Zinda Hai,"$87,320,000 ",Yash Raj Films
Little Italy,"$1,362,536 ",Entertainment One
The Leisure Seeker,"$10,472,180 ",Sony Pictures Classics
The Miseducation of Cameron Post,"$1,451,729 ",FilmRise
The Cakemaker,"$1,287,568 ",Strand Releasing
Vince Giordano: There's a Future in the Past,"$14,807 ",First Run
Paradise,"$921,242 ",Film Movement
Victor,"$117,755 ",CanZion Films
Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$2,403,030 ",Fathom Events
Brotherhood of Blades 2,"$39,966,092 ",Well Go USA Entertainment
Antarctica: Ice and Sky,"$14,475 ",Music Box Films
My Dear Liar,"$31,177,968 ",CMC Pictures Holdings
The Farthest,"$44,921 ",Abramorama
The Crossing,"$1,589,212 ",CMC Pictures
Rebels on Pointe,"$15,088 ",Icarus Films
Ramen Shop,"$734,347 ",Strand Releasing
SHOT! The Psycho-Spiritual Mantra of Rock,"$18,295 ",Magnolia Pictures
Hunter Gatherer,"$19,462 ",Matson Films
Varda by Agnès,"$217,347 ",Janus Films
A Bigger Splash,"$95,826 ",Metrograph Pictures
Loopers: The Caddie's Long Walk,"$90,679 ",Gravitas Ventures
Labyrinth,"$993,336 ",Fathom Events
The Insult,"$3,601,603 ",Cohen Media Group
Wildlife,"$3,321,351 ",IFC Films
Elvis: The Comeback Special,"$1,010,657 ",Fathom Events
Mapplethorpe,"$91,002 ",The Samuel Goldwyn Company
The Metropolitan Opera HD Live: Puccini: La Fanciulla del West,"$1,023,233 ",Fathom Events
The Metropolitan Opera HD Live: Rossini: Semiramide,"$1,332,900 ",Fathom Events
Rojo,"$557,092 ",Distrib Films
Nothing to Lose,"$36,075,317 ",Swen Releasing
Zero,"$2,595,762 ",Yash Raj Films
The Dark Crystal,"$1,036,956 ",Fathom Events
Raid,"$2,031,135 ",Eros International
Yellow Submarine,"$1,273,261 ",Abramorama
The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,"$1,115,018 ",Fathom Events
My Neighbor Totoro,"$27,083,857 ",Fathom Events
Always Miss You,"$19,015,465 ",China Lion Film Distribution
Along With the Gods: The Two Worlds,"$109,383,972 ",Well Go USA Entertainment
Qué León,"$7,807,916 ",Spanglish Movies
Lean on Pete,"$2,443,584 ",A24
Miss Sloane,"$9,101,546 ",EuropaCorp
All the Queen's Horses,"$16,172 ",Argot Pictures
Swim Team,"$16,783 ",Argot Pictures
Margaret Atwood: Live in Cinemas,"$529,285 ",Fathom Events
The Freedom to Marry,"$16,611 ",Argot Pictures
Wonders of the Sea,"$279,415 ",Fathom Events
The Wound,"$213,043 ",Kino Lorber
Kills On Wheels,"$19,680 ",Kino Lorber
Mirai,"$27,526,961 ",GKIDS
The Song of Names,"$979,495 ",Sony Pictures Classics
The Image Book,"$130,802 ",Kino Lorber
Mission Control: The Unsung Heroes of Apollo,"$16,405 ",Independent
Anthropocene: The Human Epoch,"$334,162 ",Kino Lorber
Brave New Jersey,"$16,544 ",Gravitas Ventures
Mojin: The Worm Valley,"$22,381,583 ",Well Go USA Entertainment
The Third Wife,"$305,374 ",Film Movement
Walking on Water,"$178,119 ",Kino Lorber
Andhadhun,"$49,391,206 ",Eros International
The Metropolitan Opera HD Live: Verdi: Luisa Miller,"$1,166,858 ",Fathom Events
The Metropolitan Opera HD Live: Saint-Saëns: Samson et Dalila,"$1,195,758 ",Fathom Events
Spirited Away,"$70,186,029 ",Fathom Events
Tazza: One-Eyed Jack,"$16,572,611 ",Well Go USA Entertainment
The Divine Fury,"$11,799,556 ",Well Go USA Entertainment
Penguin Highway,"$4,006,647 ",Eleven Arts
An Interview with God,"$2,251,795 ",Fathom Events
Miss & Mrs. Cops,"$12,147,170 ",CJ Entertainment
Grease,"$1,710,727 ",Fathom Events
Beautifully Broken,"$1,271,572 ",ArtAffects Entertainment
Mandy,"$1,335,484 ",RLJE Films
The Sacrifice,"$61,018 ",Kino Lorber
The Metropolitan Opera HD Live: Massenet: Cendrillon,"$1,747,259 ",Fathom Events
The Seagull,"$1,820,461 ",Sony Pictures Classics
Racetime,"$3,107,196 ",Entertainment One
Along With the Gods: The Last 49 Days,"$97,962,238 ",Well Go USA Entertainment
Sacred,"$17,740 ",Argot Pictures
All the Rage,"$18,489 ",The Film Collaborative
Contemporary Color,"$15,305 ",Oscilloscope
Food Evolution,"$17,181 ",Abramorama
L'important c'est d'aimer,"$19,120 ",Rialto Pictures
Bad Grandmas,"$17,688 ",Parade Deck Films
Harmonium,"$153,283 ",Film Movement
Trafficked,"$19,698 ",Epic Pictures Group
Shoplifters,"$67,998,954 ",Magnolia Pictures
Carrie Pilby,"$28,430 ",The Orchard
Burden,"$20,437 ",Magnolia Pictures
Mansfield 66/67,"$19,390 ",FilmBuff
The Last Shaman,"$17,844 ",Abramorama
Bobbi Jene,"$18,579 ",Oscilloscope
Glory,"$87,728 ",Film Movement
"Belle and Sebastian, Friends for Life","$229,983 ",Entertainment One
Mob Psycho 100,"$115,766 ",Fathom Events
The Audience,"$523,432 ",Fathom Events
The Kingmaker,"$148,611 ",Greenwich Entertainment
Be Natural: The Untold Story of Alice Guy-Blaché,"$130,859 ",Zeitgeist Films
Cold Case Hammarskjöld,"$104,965 ",Magnolia Pictures
Downtown 81,"$115,103 ",Metrograph Pictures
Portrait of a Lady on Fire,"$5,646,763 ",Neon
The Metropolitan Opera HD Live: Mozart: Così fan tutte,"$1,302,949 ",Fathom Events
Babylon,"$109,749 ",Kino Lorber
McQueen,"$2,739,246 ",Bleecker Street Media
The Fall of the American Empire,"$4,110,928 ",Entertainment One
Police Story,"$113,164 ",Janus Films
The Brink,"$106,057 ",Magnolia Pictures
Branagh Theatre Live: The Winter's Tale,"$141,143 ",Trafalgar Releasing
Dunkirk,"$1,695,119 ",Warner Bros.
Little Women,"$11,216,330 ",Pinnacle Peak
102 Not Out,"$16,758,596 ",Sony Pictures Releasing
Baaghi 2,"$33,139,063 ",FIP
Made for More,"$2,999,134 ",Fathom Events
"Ruben Brandt, Collector","$369,809 ",Sony Pictures Classics
The Reports on Sarah and Saleem,"$607,206 ",Dada Films
Operation Red Sea,"$579,330,426 ",Well Go USA Entertainment
Finding Your Feet,"$15,845,593 ",Roadside Attractions
Princess Mononoke,"$1,519,321 ",Fathom Events
"Don't Worry, He Won't Get Far on Foot","$4,241,656 ",Amazon Studios
Thugs of Hindostan,"$14,341,431 ",Yash Raj Films
The Metropolitan Opera HD Live: Verdi: Aida,"$1,595,902 ",Fathom Events
A Private War,"$3,915,207 ",Aviron Pictures
Heat and Dust,"$19,856 ",Cohen Media Group
The Blackcoat's Daughter,"$38,348 ",A24
All These Sleepless Nights,"$20,762 ",The Orchard
Trophy,"$22,553 ",The Orchard
The Girl Without Hands,"$121,020 ",GKIDS
The Bookshop,"$12,055,868 ",Greenwich Entertainment
Man Underground,"$20,907 ",Indican Pictures
RV: Resurrected Victims,"$2,269,892 ",Well Go USA Entertainment
Better Watch Out,"$176,288 ",Well Go USA Entertainment
Absolutely Anything,"$6,303,792 ",Atlas Distribution Company
The Man from Outer Space,"$20,102 ",Indican Pictures
The Lucky Man,"$25,015 ",Indican Pictures
The Passion of Joan of Arc,"$21,877 ",Janus Films
Massacre on Aisle 12,"$21,106 ",Indican Pictures
A Beginner's Guide to Snuff,"$21,031 ",Indican Pictures
Whisky Galore,"$653,866 ",Arrow Films
God Knows Where I Am,"$21,135 ",Bond/360
Easy Rider,"$123,276 ",Fathom Events
Bending the Arc,"$36,586 ",Abramorama
The Transfiguration,"$28,631 ",Strand Releasing
The Recall,"$112,357 ",Freestyle Releasing
Avant qu'on explose,"$119,894 ",Entertainment One
Mary Magdalene,"$124,741 ",IFC Films
A Tuba to Cuba,"$121,772 ",Blue Fox Entertainment
Una,"$508,169 ",Eammon Films
My Scientology Movie,"$2,130,866 ",Magnolia Pictures
Woodstock,"$320,610 ",Fathom Events
Paradise Club,"$22,381 ",Indican Pictures
The Zoya Factor,"$289,631 ",FIP
Peppa Celebrates Chinese New Year,"$18,653,040 ",STX Entertainment
Made in Abyss: Journey's Dawn,"$134,194 ",Fathom Events
Burning,"$7,566,962 ",Well Go USA Entertainment
Okko's Inn,"$293,385 ",GKIDS
Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888 ",Fathom Events
Paris Is Burning,"$125,677 ",Janus Films
Lost & Found,"$164,026 ",Hyper Film
Born to Be Wild,"$41,615,256 ",Warner Bros.
Wilder vs. Ortiz,"$139,207 ",Fathom Events
Race 3,"$6,817,391 ",Yash Raj Films
Canelo vs. Kovalev,"$140,820 ",Fathom Events
Palau the Movie,"$171,155 ",Trafalgar Releasing
On the Basis of Sex,"$38,673,750 ",Focus Features
Pad Man,"$29,045,020 ",Sony Pictures Releasing
Mister America,"$130,897 ",Magnolia Pictures
The Other Story,"$135,191 ",Strand Releasing
The Metropolitan Opera HD Live: Puccini: La Bohème,"$1,764,201 ",Fathom Events
Moses,"$1,807,117 ",Fathom Events
Who Will Write Our History,"$138,039 ",Abramorama
Rafiki,"$181,316 ",Film Movement
Hubble 3D,"$74,232,453 ",Warner Bros.
Ben Is Back,"$10,134,204 ",Roadside Attractions
The Metropolitan Opera HD Live: Verdi: La Traviata,"$1,982,588 ",Fathom Events
Detective Chinatown 2,"$544,185,156 ",Warner Bros.
The Front Runner,"$3,242,235 ",Sony Pictures Releasing
A Fantastic Woman,"$3,702,353 ",Sony Pictures Classics
Assassination Nation,"$2,584,988 ",Neon
Pope Francis: A Man of His Word,"$8,608,385 ",Focus Features
At Eternity's Gate,"$11,261,585 ",CBS Films
The Metropolitan Opera HD Live: Puccini: Tosca,"$3,473,616 ",Fathom Events
The Fall of the American Empire,"$4,110,928 ",Entertainment One
Simmba,"$9,865,268 ",Reliance Big Pictures
If Beale Street Could Talk,"$20,596,567 ",Annapurna Pictures
Murder on the Orient Express,"$352,789,811 ",Twentieth Century Fox
Daddy's Home 2,"$180,613,180 ",Paramount Pictures
Papillon,"$10,060,903 ",Bleecker Street Media
Queen of Katwe,"$10,367,161 ",Walt Disney Studios Motion Pictures
The Departure,"$24,662 ",Matson Films
The Grace of Jake,"$23,078 ",Indican Pictures
Puzzle,"$2,260,946 ",Sony Pictures Classics
Saving Brinton,"$56,218 ",Barn Owl Pictures
They Call us Monsters,"$26,080 ",Matson Films
Naples '44,"$24,863 ",First Run
Jasmine,"$24,248 ",Indican Pictures
Simple Creature,"$23,918 ",Indican Pictures
Finding Oscar,"$23,116 ",FilmRise
For Ahkeem,"$23,136 ",Vitagraph Films
"A Woman, a Part","$23,562 ",Strand Releasing
30 Years of Garbage: The Garbage Pail Kids Story,"$27,739 ",Indican Pictures
The Old Dark House,"$34,649 ",Cohen Media Group
The Untamed,"$61,249 ",Strand Releasing
The Crime of Monsieur Lange,"$38,002 ",Rialto Pictures
Paradise,"$24,749 ",Carusel
Radio Dreams,"$27,836 ",Matson Films
Doctor Who: Logopolis,"$143,248 ",Fathom Events
Trial by Fire,"$148,504 ",Roadside Attractions
Framing John DeLorean,"$145,625 ",IFC Films
Little Woods,"$171,912 ",Neon
Hampstead,"$6,335,171 ",IFC Films
Ribbons,"$27,959 ",Indican Pictures
Glory,"$150,801 ",Fathom Events
Marius/Fanny/César,"$24,787 ",Janus Films
Peterloo,"$1,998,945 ",Amazon Studios
The Villainess,"$8,737,458 ",Well Go USA Entertainment
Halston,"$163,446 ",The Orchard
Before You Know It,"$151,507 ",1091 Media
Dogman,"$5,080,147 ",Magnolia Pictures
War and Peace,"$148,503 ",Janus Films
The Death and Life of John F. Donovan,"$3,326,364 ",Entertainment One
Batman,"$207,901 ",Fathom Events
Them That Follow,"$172,952 ",1091 Media
The World Before Your Feet,"$268,644 ",Greenwich Entertainment
Monty Python's Life of Brian,"$470,071 ",Trafalgar Releasing
Jay Myself,"$151,331 ",Oscilloscope
"Diana Ross: Her Life, Love and Legacy","$160,968 ",Fathom Events
1991,"$2,342,264 ",Entertainment One
The Rider,"$3,434,963 ",Sony Pictures Classics
Mary and the Witch's Flower,"$41,978,431 ",GKIDS
Suspiria,"$7,942,093 ",Amazon Studios
Money,"$155,732 ",CJ Entertainment
A Beautiful Planet,"$25,681,505 ",IMAX
Synonyms,"$613,856 ",Kino Lorber
Bharath Ane Nenu,"$3,276,257 ",Great India Films
You Were Never Really Here,"$9,360,514 ",Amazon Studios
Thoroughbreds,"$3,187,255 ",Focus Features
La boda de Valentina,"$11,021,794 ",Pantelion Films
God Bless the Broken Road,"$2,848,233 ",Freestyle Releasing
American Animals,"$4,080,073 ",The Orchard
Whitney,"$4,605,123 ",Roadside Attractions
The Sisters Brothers,"$13,143,056 ",Annapurna Pictures
Bad Samaritan,"$4,623,836 ",Electric Entertainment
The Leisure Seeker,"$10,472,180 ",Sony Pictures Classics
2001: A Space Odyssey,"$3,823,450 ",Warner Bros.
"Juliet, Naked","$4,508,260 ",Roadside Attractions
The Disaster Artist,"$29,820,616 ",A24
7 Days in Entebbe,"$8,771,432 ",Focus Features
Hearts Beat Loud,"$2,417,165 ",Gunpowder & Sky
The Oscar Nominated Short Films 2018: Live Action,"$3,511,123 ",Shorts International
Mali Blues,"$26,950 ",Icarus Films
Berlin Syndrome,"$397,783 ",Vertical Entertainment
First Reformed,"$3,862,498 ",A24
Justice League,"$657,924,295 ",Warner Bros.
Disobedience,"$8,003,180 ",Bleecker Street Media
False Confessions,"$56,165 ",Big World Pictures
Lemon,"$29,258 ",Magnolia Pictures
Signature Move,"$31,551 ",Newcity
In Pursuit of Silence,"$41,913 ",The Cinema Guild
On the Beach at Night Alone,"$429,159 ",The Cinema Guild
7 Witches,"$31,100 ",Indican Pictures
Sidemen: Long Road to Glory,"$31,399 ",Abramorama
Super Dark Times,"$33,109 ",The Orchard
Alone in Berlin,"$1,205,598 ",IFC Films
No Greater Love,"$30,247 ",Atlas Distribution Company
INXS: Baby Live at Wembly Stadium,"$366,425 ",Fathom Events
Dealt,"$30,414 ",IFC Films
Wasted! The Story of Food Waste,"$33,211 ",Super
Uncertain,"$29,736 ",Lucid Dreaming Inc.
Bright Ones,"$165,627 ",Fathom Events
Love & Taxes,"$33,150 ",Abramorama
XX,"$55,668 ",Magnolia Pictures
Dave Made a Maze,"$34,117 ",Gravitas Ventures
Nureyev: Lifting the Curtain,"$342,255 ",CineLife Entertainment
Bolshoi Ballet: The Golden Age,"$171,916 ",Fathom Events
Afterimage,"$943,029 ",Film Movement
Sunset,"$1,083,299 ",Sony Pictures Classics
Ashfall,"$61,255,955 ",Capelight Pictures
Bad Guys: The Movie,"$34,024,386 ",CJ Entertainment
Asbury Park: Riot Redemption Rock 'n Roll,"$264,983 ",Trafalgar Releasing
Frankie,"$695,680 ",Sony Pictures Classics
India's Most Wanted,"$235,351 ",FIP
The Warrior Queen of Jhansi,"$177,289 ",Roadside Attractions
Marjaavaan,"$641,154 ",Eros International
Bolshoi Ballet: Raymonda,"$181,361 ",Fathom Events
Raymonda: Bolshoi Ballet,"$181,361 ",Fathom Events
Robin Hood,"$86,489,031 ",Lionsgate
Giant Little Ones,"$181,507 ",Vertical Entertainment
Deep Sea,"$98,209,886 ",Warner Bros.
42nd Street: The Musical,"$1,967,450 ",Fathom Events
The Divine Plan,"$190,031 ",Fathom Events
Tigers Are Not Afraid,"$210,138 ",Variance Films
"Iyengar: The Man, Yoga, and the Student's Journey","$176,387 ",Kino Lorber
Indivisible,"$3,589,633 ",Pure Flix Entertainment
Bolshoi Ballet: Le Corsaire,"$305,653 ",Fathom Events
Mr. Klein,"$189,858 ",Rialto Pictures
Gosnell: The Trial of America's Biggest Serial Killer,"$3,679,893 ",GVN Releasing
Thor: Ragnarok,"$853,977,126 ",Walt Disney Studios Motion Pictures
Sgt. Stubby: An American Hero,"$4,932,694 ",Fun Academy Motion Pictures
The River and the Wall,"$183,602 ",Gravitas Ventures
To Dust,"$184,495 ",Good Deed Entertainment
Life Itself,"$7,997,774 ",Amazon Studios
Ya veremos,"$14,134,723 ",Pantelion Films
Burn the Stage: The Movie,"$20,347,513 ",Trafalgar Releasing
Pagalpanti,"$5,633,633 ",Eros International
Blindspotting,"$5,006,989 ",Lionsgate
Gotti,"$6,412,349 ",Vertical Entertainment
Johnny English Strikes Again,"$158,970,776 ",Universal Pictures
Father Figures,"$25,601,244 ",Warner Bros.
Samson,"$4,873,825 ",Pure Flix Entertainment
Gringo,"$11,001,627 ",STX Entertainment
Beirut,"$7,509,436 ",Bleecker Street Media
Action Point,"$5,103,663 ",Paramount Pictures
Colette,"$14,273,033 ",Bleecker Street Media
Kin,"$10,313,019 ",Lionsgate
God's Not Dead: A Light in Darkness,"$7,414,178 ",Pure Flix Entertainment
My Hero Academia: Two Heroes,"$21,022,724 ",FUNimation Entertainment
Pandas,"$7,635,778 ",Warner Bros.
Death of a Nation,"$5,885,881 ",Quality Flix
Once Upon a Deadpool,"$51,247,568 ",Twentieth Century Fox
Leave No Trace,"$7,682,928 ",Bleecker Street Media
Every Day,"$10,421,847 ",Orion Pictures
The Hurricane Heist,"$32,517,248 ",Entertainment Studios Motion Pictures
Le Trou,"$34,588 ",Rialto Pictures
Rat Film,"$35,195 ",The Cinema Guild
Growing Up Smith,"$35,312 ",Good Deed Entertainment
The Edge of Seventeen,"$19,370,020 ",STX Entertainment
The Commune,"$4,410,339 ",Magnolia Pictures
School Life,"$86,616 ",Magnolia Pictures
Maurice,"$45,926 ",Cohen Media Group
Heart Blackened,"$3,593,480 ",CJ Entertainment
78/52: Hitchcock's Shower Scene,"$46,838 ",IFC Films
A Woman's Life,"$895,944 ",Kino Lorber
Sophie and the Rising Sun,"$34,630 ",Monterey Media
Woodshock,"$43,682 ",A24
Hermia & Helena,"$44,156 ",Kino Lorber
Karl Marx City,"$41,072 ",Bond/360
One Week and a Day,"$152,178 ",Oscilloscope
