title,budget,opening_theaters
Submission,N/A,N/A
First We Take Brooklyn,N/A,5
The Sacrifice,N/A,1
Rodin,N/A,N/A
A Ciambra,N/A,1
Humor Me,N/A,1
350 Days - Legends. Champions. Survivors,N/A,N/A
Bigger,N/A,61
Indian Horse,N/A,N/A
Hitler's Hollywood,N/A,1
What Will People Say,N/A,1
Garry Winogrand: All Things are Photographable,N/A,1
Antonio Lopez 1970: Sex Fashion & Disco,N/A,1
Before We Vanish,N/A,2
Digimon Adventure tri. Part 5: Coexistence,N/A,N/A
Summer in the Forest,N/A,1
Wait for Your Laugh,N/A,2
Racer and the Jailbird,N/A,2
Digimon Adventure tri. Part 6: Future,N/A,N/A
The Great Silence,N/A,1
DAZN Boxing: Canelo Alvarez vs. Rocky Fielding,N/A,368
Django,N/A,4
The China Hustle,N/A,20
Hal,N/A,1
Black '47,N/A,1
American Dream: Detroit,N/A,N/A
Twiceland,N/A,N/A
Woman Walks Ahead,N/A,2
In Search of Greatness,N/A,16
My Friend Dahmer,N/A,4
Cynthia,N/A,21
A Kid Like Jake,N/A,1
Digimon Adventure tri. Part 4: Loss,N/A,N/A
Ramen Heads,N/A,2
"Monrovia, Indiana",N/A,1
Viper Club,N/A,3
Bhavesh Joshi Superhero,N/A,46
Never Goin' Back,N/A,2
Walk With Me,N/A,1
"Westwood: Punk, Icon, Activist",N/A,1
Beuys,N/A,2
Making the Five Heartbeats,N/A,N/A
Bomb City,N/A,17
The Gardener,N/A,1
Where Is Kyra?,N/A,1
Where Hands Touch,N/A,103
Outside In,N/A,9
The House That Jack Built,N/A,32
Liz and the Blue Bird,N/A,N/A
The Doctor from India,N/A,1
Parchi,N/A,39
Feng Shui,N/A,2
"3100, Run and Become",N/A,N/A
Chef Flynn,N/A,1
Wastelander,N/A,22
Under the Tree,N/A,3
The Fog,N/A,43
Namiya,N/A,21
The Last Suit,N/A,6
Tom of Finland,N/A,1
Bye Bye Germany,N/A,2
Tehran Taboo,N/A,1
Above and Beyond: NASA's Journey to Tomorrow,N/A,350
Hold Your Breath,N/A,12
The Riot Act,N/A,9
Shock and Awe,N/A,100
Becoming Astrid,N/A,3
Helicopter Eela,N/A,70
"Nico, 1988",N/A,2
The Boxcar Children - Surprise Island,N/A,N/A
Have a Nice Day,N/A,1
After Auschwitz,N/A,N/A
En el séptimo día,N/A,2
Keys To The Heart,N/A,2
93Queen,N/A,1
Henchmen,N/A,3
The Brawler,N/A,19
1945,N/A,2
Hold Your Breath,N/A,12
Swimming with Men,N/A,31
The Princess and the Matchmaker,N/A,3
Sgt. Stubby: An American Hero,N/A,"1,633"
Senso,N/A,1
Chinese Portrait,N/A,1
Serendipity,N/A,2
In Safe Hands,N/A,1
Owaranai hito: Miyazaki Hayao,N/A,4
Tall Tales from the Magical Garden of Antoon Krings,N/A,N/A
Indivisible,N/A,830
For Those Who Don't Read Me,N/A,5
The Untold Story,N/A,1
Godard Mon Amour,N/A,4
Doctor Who: The Woman Who Fell to Earth,N/A,N/A
The Hours and Times,N/A,1
Yuri!!! On Ice,N/A,109
A Fish in the Bathtub,N/A,3
National Theatre Live: Antony & Cleopatra,N/A,N/A
Blood Fest,N/A,N/A
Game Day,N/A,4
American Playhouse: The Killing Floor,N/A,1
How To Talk To Girls at Parties,N/A,2
Nancy,N/A,3
Claire's Camera,N/A,1
Little Q,N/A,1
Bolshoi Ballet: Swan Lake,N/A,N/A
Goldstone,N/A,1
Stan & Ollie,N/A,5
Custody,N/A,1
Tea With the Dames,N/A,1
Joan the Maid 1: The Battles,N/A,1
Big Brother,N/A,25
"No Date, No Signature",N/A,3
L'héritage de la chouette,N/A,N/A
The Price of Everything,N/A,1
Lobster Cop,N/A,12
TINY: The Life of Erin Blackwell,N/A,1
Cat on a Hot Tin Roof,N/A,N/A
I Lost Albert,N/A,1
BANDSTAND: The Broadway Musical on Screen,N/A,N/A
Iceman,N/A,7
Running for Grace,N/A,3
Back to the Fatherland,N/A,1
The Breadwinner,N/A,3
Reign of Judges: Title of Liberty - Concept Short,N/A,N/A
Godspeed: The Race Across America,N/A,N/A
Champion,N/A,2
Airpocalypse,N/A,21
National Theatre Live: Macbeth,N/A,N/A
The Kindness of Strangers,N/A,3
The Third Murder,N/A,2
El Angel,N/A,2
Filmworker,N/A,1
Golden Slumber,N/A,N/A
Let the Corpses Tan,N/A,3
Big Sonia,N/A,1
Wonder Wheel,N/A,5
John McEnroe: In the Realm of Perfection,N/A,1
The Wandering Soap Opera,N/A,1
Bauhaus Spirit: 100 Years of Bauhaus,N/A,N/A
100 Acres of Hell,N/A,1
Mother of a Day,N/A,1
State Like Sleep,N/A,10
Chasing Portraits,N/A,1
The Gliksmans,N/A,3
Meow Wolf: Origin Story,N/A,N/A
Filmworker,N/A,1
A Cool Fish,N/A,15
Another Day of Life,N/A,2
Crown Vic,N/A,1
Wallflower,N/A,1
All About Nina,N/A,4
Rottentail,N/A,3
The Man Who Invented Christmas,N/A,626
La Flor,N/A,1
Revenge,N/A,37
Andrei Rublev,N/A,2
The Fate of Lee Khan,N/A,1
Detective K: Secret of the Living Dead,N/A,9
Never Heard,N/A,N/A
In Between,N/A,2
National Theatre Live: Julius Caesar,N/A,N/A
Happy Phirr Bhag Jayegi,N/A,44
I'm Leaving Now,N/A,1
Ismael's Ghosts,N/A,2
Namaste England,N/A,71
Memoir of War,N/A,2
Slaughterhouse Rulez,N/A,10
"Love, Cecil",N/A,1
Kaili Blues,N/A,1
Unstoppable,N/A,22
Ballet Blanc,N/A,2
Crepitus,N/A,1
Tito and the Birds,N/A,N/A
At War,N/A,1
Mary Shelley,N/A,2
SGT. Will Gardner,N/A,N/A
Sweet Country,N/A,2
What You Gonna Do When the World's on Fire?,N/A,N/A
Lu Over the Wall,N/A,97
Amazing Grace,N/A,3
A Chance in the World - Premiere,N/A,N/A
Malek,N/A,3
Chulas Fronteras,N/A,1
"Roman J. Israel, Esq.","$22,000,000 ",4
The World Before Your Feet,N/A,2
The Negotiation,N/A,2
The Captain,N/A,1
Intuitions,N/A,3
Anna and the Apocalypse,N/A,5
Spiral Farm,N/A,3
The Garden,N/A,1
Halloween,"$10,000,000 ","3,928"
Cold Blood,N/A,25
Kedarnath,N/A,113
Chokehold,N/A,3
Body at Brighton Rock,N/A,8
Série noire,N/A,1
Love Goes Public,N/A,N/A
The Miracle of the Little Prince,N/A,1
Under the Eiffel Tower,N/A,11
The Meanest Man in Texas,N/A,3
Deep Sea,N/A,43
The Dawn Wall,N/A,2
The Hottest August,N/A,2
To Be of Service,N/A,1
The Golden Glove,N/A,5
Relaxer,N/A,N/A
Patrick the Pug,N/A,10
Hymn: Sarah Brightman In Concert,N/A,N/A
A Boy. A Girl. A Dream.,N/A,61
Nostalgia,N/A,3
George Takei's Allegiance,N/A,N/A
Bodied,N/A,14
Till The End Of The World,N/A,27
Going Attractions: The Definitive Story of the Movie Palace,N/A,N/A
Rosie,N/A,2
Border,N/A,7
Capernaum,N/A,3
Ryuichi Sakamoto: Coda,N/A,1
Mantra: Sounds Into Silence,N/A,N/A
Gonjiam: Haunted Asylum,N/A,2
The Great Buster,N/A,2
Bisbee '17,N/A,1
The Plagiarists,N/A,1
Beloved Beast,N/A,3
This Magnificent Cake!,N/A,1
Genesis,N/A,1
Five Seasons: The Gardens of Piet Oudolf,N/A,3
I'll Take Your Dead,N/A,4
King of Thieves,N/A,11
Gregory's Girl,N/A,1
Geostorm,"$120,000,000 ","3,246"
'85: The Greatest Team in Football History,N/A,N/A
Yu-Gi-Oh!: The Movie - Pyramid of Light,N/A,556
Destroyer,N/A,3
Ghost Fleet,N/A,N/A
Sleepless in Seattle,"$21,000,000 ",419
The Young Karl Marx,N/A,3
Colossal Youth,N/A,N/A
The Metropolitan Opera HD Live: Verdi: Il Trovatore,N/A,N/A
Love After Love,N/A,1
Monster Family,N/A,10
Bel Canto,N/A,2
Around India with a Movie Camera,N/A,1
Studio 54,N/A,1
Cracked Up,N/A,1
Frantz Fanon: Black Skin White Mask,N/A,1
Support the Girls,N/A,33
When Lambs Become Lions,N/A,1
Fritz Lang's Indian Epic,N/A,1
Streetwise,N/A,1
The Spanish Prisoner,N/A,1
Shooting the Mafia,N/A,2
Olivia,N/A,3
The Metropolitan Opera HD Live: Tchaikovsky: Eugene Onegin,N/A,N/A
The Metropolitan Opera HD Live: Puccini: Madama Butterfly,N/A,N/A
The Eyes of Orson Welles,N/A,1
Daughter of Mine,N/A,2
Round of Your Life,N/A,4
Swing Kids,N/A,15
Rudy,N/A,656
Best F(r)iends Volume Two,N/A,366
The Little Mermaid,N/A,82
Mr. Smith Goes to Washington,"$1,900,000 ",577
Angels Are Made Of Light,N/A,1
Night of the Living Dead,N/A,N/A
Eating Animals,N/A,2
16 Bars,N/A,1
Ferrante Fever,N/A,1
Suburban Birds,N/A,1
Ghost Stories,N/A,1
"Buttons, A New Musical Film",N/A,543
Bad Reputation,N/A,196
Museo,N/A,1
Duet for Cannibals,N/A,N/A
If the Dancer Dances,N/A,1
Made Me Do It,N/A,2
I Do Not Care If We Go Down in History as Barbarians,N/A,1
Between the Lines,N/A,N/A
National Theatre Live: The Curious Incident of the Dog in the Night-Time,N/A,N/A
Yomeddine,N/A,4
In Like Flynn,N/A,27
Silencio,N/A,348
That Part Feeling - the Universe of Arvo Part,N/A,N/A
Cold War,N/A,3
Vision Portraits,N/A,N/A
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,N/A,2
Is Genesis History?,N/A,N/A
The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,N/A,358
Double Lover,N/A,50
Luis and the Aliens,N/A,N/A
Only the Brave,"$38,000,000 ","2,577"
Far From the Tree,N/A,2
The Metropolitan Opera HD Live: Puccini: Turandot,N/A,N/A
Always at The Carlyle,N/A,1
The House That Jack Built,N/A,N/A
The Bolshoi Ballet: Live From Moscow - The Flames of Paris,N/A,360
The Bolshoi Ballet: Live From Moscow - La Sylphide,N/A,355
Journey's End,N/A,2
Bricked,N/A,N/A
Rampant,N/A,2
Quartet,N/A,1
Stuffed,N/A,1
The White Sheik,N/A,1
Journey to the South Pacific,N/A,1
The Disappearance of My Mother,N/A,N/A
The Guardians,N/A,1
Zen for Nothing,N/A,2
Imprisoned,N/A,1
"Cassandro, The Exotico!",N/A,1
Karwaan,N/A,58
Off Season,N/A,2
Cobra Kai Premiere Event feat. The Karate Kid,N/A,N/A
National Theatre Live: King Lear,N/A,N/A
The Accidental Detective 2: In Action,N/A,11
BuyBust,N/A,25
Last Letter,N/A,18
Maquia: When the Promised Flower Blooms,N/A,157
Owaranai hito: Miyazaki Hayao,N/A,4
Summer 1993,N/A,4
Goldbuster,N/A,24
The Monkey King 3,N/A,34
The Bolshoi Ballet: Live From Moscow - Don Quixote,N/A,358
Made in France,N/A,1
Island of Lemurs: Madagascar,N/A,37
Madeline's Madeline,N/A,1
Rapid Response,N/A,8
Peter and the Farm,N/A,1
This One's for the Ladies,N/A,1
NightLights,N/A,3
The Cat Rescuers,N/A,3
National Bird,N/A,1
My Son,N/A,3
The House with a Clock in Its Walls,"$42,000,000 ","3,592"
First Man,"$59,000,000 ","3,640"
Born to Be Wild,N/A,206
Boy Erased,N/A,5
My Annoying Brother,N/A,N/A
Hagazussa,N/A,11
The Woman Who Loves Giraffes,N/A,2
Screwball,N/A,13
Have It All -The Movie,N/A,N/A
The Final Year,N/A,35
Rebel Without a Cause,N/A,658
Fate/Stay Night: Heaven's Feel - I. Presage Flower,N/A,N/A
Frank and Ava,N/A,1
Touch Me Not,N/A,1
The Competition,N/A,N/A
Combat Obscura,N/A,10
Gauguin: Voyage to Tahiti,N/A,6
Zama,N/A,3
Gemini,N/A,4
The Bolshoi Ballet: Live From Moscow - Coppélia,N/A,360
Justice Is Mind,N/A,1
Our Time,N/A,1
ZZ Top: That Little Ol' Band from Texas,N/A,N/A
The Eyes of My Mother,N/A,5
Paths of the Soul,N/A,1
La folle histoire de Max et Léon,N/A,N/A
Amityville: The Awakening,N/A,10
The Witness,N/A,1
2:22,N/A,3
The Hill Chris Climbed: The Gridiron Heroes Story,N/A,N/A
Anatahan,N/A,N/A
This Last Lonely Place,N/A,2
El Angel,N/A,2
Funan,N/A,1
Midnight Family,N/A,1
Off the Rails,N/A,1
The Black Dove,N/A,2
Julian Schnabel: A Private Portrait,N/A,N/A
Trinity Seven The Movie 2: Heavens Library & Crimson Lord,N/A,18
I Am Not Madame Bovary,N/A,38
Wrinkles the Clown,N/A,21
A Private War,N/A,4
Piercing,N/A,18
Too Late to Die Young,N/A,1
Three Peaks,N/A,1
Starfish,N/A,N/A
Little Joe,N/A,12
To the Arctic 3D,N/A,50
Ode to Joy,N/A,2
Citizen K,N/A,1
Chained for Life,N/A,2
Ballon,N/A,N/A
The House That Jack Built,N/A,32
Tremors,N/A,4
Virginia Minnesota,N/A,2
Keep the Change,N/A,1
The Dating Project,N/A,N/A
Jane,N/A,3
The Cranes Are Flying,N/A,N/A
The Treasure of the Sierra Madre,N/A,631
Joseph Pulitzer: Voice of the People,N/A,1
Scandalous: The True Story of the National Enquirer,N/A,12
The Producers,N/A,629
Fragments of Truth,N/A,N/A
Default,N/A,19
Mazinger Z: INFINITY,N/A,482
"Phoenix, Oregon",N/A,1
Getting Grace,N/A,60
A Bad Moms Christmas,"$28,000,000 ","3,615"
The Guilty,N/A,29
Agent Mr. Chan,N/A,10
Little Pink House,N/A,9
Borg vs. McEnroe,N/A,51
MFKZ,N/A,436
Bishôjo senshi Sailor Moon Super S Special,N/A,520
Youth,N/A,30
Superman,"$55,000,000 ",394
Hamlet,N/A,N/A
Happy End,N/A,3
Dark Money,N/A,1
Christine,N/A,1
Matangi/Maya/M.I.A,N/A,2
The Student,N/A,N/A
The Loving Story,N/A,N/A
The Lion in Winter,N/A,2
The Penguin Counters,N/A,1
Always Shine,N/A,1
Extraordinary Ordinary People,N/A,1
Believe,N/A,638
Clash,N/A,N/A
A Different American Dream,N/A,N/A
Level Five,N/A,2
The Battle of Algiers,N/A,3
It's Not Yet Dark,N/A,2
Do Not Resist,N/A,1
The Polar Express,"$165,000,000 ",N/A
Out of Blue,N/A,35
The Forest for the Trees,N/A,N/A
Almost Friends,N/A,N/A
The Outcasts,N/A,11
The Romans,N/A,1
Never,N/A,2
The Greasy Strangler,N/A,11
Magnus,N/A,1
Girls of the Sun,N/A,8
The Perfect Race,N/A,1
Prassthanam,N/A,32
The Sound of Silence,N/A,2
Detour,N/A,5
Alien Intrusion: Unmasking a Deception,N/A,N/A
Armstrong,N/A,12
Jane and Emma,N/A,21
Redoubt,N/A,1
The Gospel of Eureka,N/A,1
Light of My Life,N/A,28
General Magic,N/A,5
Wicked Witches,N/A,10
The Hole in the Ground,N/A,N/A
The All Americans,N/A,3
Island of Lemurs: Madagascar,N/A,37
RWBY: Argus Limited,N/A,N/A
Generation Wealth,N/A,4
Skate Kitchen,N/A,1
Hyènes,N/A,N/A
Light from Light,N/A,2
The Fireflies Are Gone,N/A,25
Batti Gul Meter Chalu,N/A,64
London Fields,N/A,613
Best F(r)iends: Volume 1,N/A,409
The Square,N/A,4
Big,N/A,689
Across the Universe,N/A,439
What They Had,N/A,4
"Intent to Destroy: Death, Denial & Depiction",N/A,N/A
Red Christmas,N/A,1
