title,budget,opening_theaters
The Brand New Testament,N/A,6
Star Raiders: The Adventures of Saber Raine,N/A,N/A
Manolo: the Boy Who Made Shoes for Lizards,N/A,3
Bang! The Bert Berns Story,N/A,1
My Entire High School Sinking Into the Sea,N/A,3
Tragedy Girls,N/A,2
Modest Heroes,N/A,370
Smallfoot,N/A,"4,131"
The Tiger Hunter,N/A,N/A
Out of Liberty,N/A,35
The Love Witch,N/A,6
Luzia: Cirque du Soleil in Cinema,N/A,N/A
Architects of Denial,N/A,11
Alive and Kicking,N/A,11
To the Arctic 3D,N/A,50
Just Mercy,N/A,4
One Child Nation,N/A,2
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,N/A,N/A
The Tale of The Princess Kaguya,N/A,N/A
True Grit,N/A,614
I Want to Eat Your Pancreas,N/A,397
The Nutcracker and the Four Realms,"$120,000,000 ","3,766"
Octaman,N/A,N/A
The Whistleblower,N/A,133
Slayer: The Repentless Killogy,N/A,N/A
The Godfather: Part II,"$13,000,000 ",681
Saga of Tanya the Evil - The Movie,N/A,N/A
Freaks,N/A,111
Shakira in Concert: El Dorado World Tour,N/A,398
The Bravest,N/A,150
Khalid: Free Spirit,N/A,N/A
Mike Wallace Is Here,N/A,3
Hunter Killer,"$40,000,000 ","2,728"
Mortal Engines,N/A,"3,103"
Forever My Girl,"$3,500,000 ","1,114"
Sorry to Bother You,N/A,16
Stockholm,N/A,N/A
Killerman,N/A,322
The Favourite,N/A,4
Chappaquiddick,N/A,"1,560"
"Paul, Apostle of Christ","$5,000,000 ","1,473"
Lady Bird,N/A,4
SuperFly,"$16,000,000 ","2,220"
Operation Finale,"$24,000,000 ","1,818"
Phantom Thread,N/A,4
Bad Times at the El Royale,"$32,000,000 ","2,808"
Show Dogs,N/A,"3,212"
Vice,N/A,"2,442"
Bad Santa 2,"$26,000,000 ","2,920"
The Happytime Murders,"$40,000,000 ","3,256"
Proud Mary,"$14,000,000 ","2,125"
Holmes & Watson,"$42,000,000 ","2,776"
Overlord,"$38,000,000 ","2,859"
Turn It Around: The Story of East Bay Punk,N/A,1
The Wasted Times,N/A,20
Ocean Waves,N/A,1
The Nile Hilton Incident,N/A,2
Earth: One Amazing Day,N/A,70
Te Ata,N/A,14
Buster's Mal Heart,N/A,1
Millennium Actress,N/A,N/A
Photograph,N/A,13
Warriors of the Dawn,N/A,32
Diane,N/A,3
Pop Aye,N/A,1
Hostiles,N/A,3
Stefan Zweig: Farewell to Europe,N/A,1
Harold and Lillian: A Hollywood Love Story,N/A,2
Won't You Be My Neighbor?,N/A,29
Second Act,"$16,000,000 ","2,607"
Molly's Game,N/A,271
Chapter & Verse,N/A,1
White Boy Rick,"$29,000,000 ","2,504"
Winchester,N/A,"2,480"
The Strangers: Prey at Night,N/A,"2,464"
Searching,N/A,9
"I, Tonya",N/A,4
The Hate U Give,"$23,000,000 ",36
Teen Titans GO! to the Movies,"$10,000,000 ","3,188"
Coco,N/A,"3,987"
Hostiles,N/A,3
Because of Grácia,N/A,32
Dina,N/A,1
The Fencer,N/A,2
BPM (Beats Per Minute),N/A,2
Sully,"$60,000,000 ","3,525"
Keep Watching,N/A,N/A
Poster Boys,N/A,50
"Tim Timmerman, Hope of America",N/A,12
Some Like It Hot,N/A,10
Night of the Living Dead,N/A,1
The Lure,N/A,1
Star Trek: The Motion Picture,"$35,000,000 ",627
Score: A Film Music Documentary,N/A,1
The King's Case Note,N/A,2
The Shawshank Redemption,"$25,000,000 ",669
Memoir of a Murderer,N/A,8
The Tomorrow Man,N/A,4
Matthias & Maxime,N/A,50
Ghostbusters,"$30,000,000 ",546
The Hummingbird Project,N/A,4
Munna Michael,N/A,75
The Mayor,N/A,29
The Secret World of Arrietty,N/A,741
The Cure: Anniversary 1978-2018 Live in Hyde Park,N/A,83
The Wedding Guest,N/A,4
The Man Who Killed Don Quixote,N/A,N/A
Mia and the White Lion,N/A,312
What We Left Behind: Star Trek DS9,N/A,N/A
The Nightingale,N/A,2
Adrift,"$35,000,000 ","3,015"
Robin Hood,"$100,000,000 ","2,827"
Nobody's Fool,"$19,000,000 ","2,468"
Slender Man,"$10,000,000 ","2,358"
Super Troopers 2,"$13,500,000 ","2,038"
Ferdinand,"$111,000,000 ","3,621"
Isle of Dogs,N/A,27
Annihilation,"$40,000,000 ","2,012"
The Bolshoi Ballet: Live From Moscow - A Hero of Our Time,N/A,401
Green Book,"$23,000,000 ",25
SEED: The Untold Story,N/A,N/A
Slack Bay,N/A,N/A
"We Love You, Sally Carmichael!",N/A,7
"Hello, Dolly!",N/A,669
Meet Me in St. Louis,"$1,700,000 ",679
The Thousand Faces of Dunjia,N/A,27
Walking Out,N/A,2
Like Crazy,N/A,2
Fabricated City,N/A,7
Big Sonia,N/A,1
The King's Choice,N/A,2
The Trouble with Terkel,N/A,12
Reset,N/A,20
The Reliant,N/A,N/A
Monos,N/A,5
Abacus: Small Enough to Jail,N/A,1
The Cold Blue,N/A,N/A
The Invisibles,N/A,4
De De Pyaar De,N/A,104
Our Time Will Come,N/A,18
Ash Is Purest White,N/A,7
Fate/stay night [Heaven's Feel] II. lost butterfly,N/A,N/A
Killing Sarai,N/A,160
Ben-Hur,"$15,000,000 ",649
Merci pour tout,N/A,57
The Spy Who Dumped Me,"$40,000,000 ","3,111"
Peppermint,"$25,000,000 ","2,980"
The 15:17 to Paris,"$30,000,000 ","3,042"
The Commuter,N/A,"2,892"
Mile 22,"$50,000,000 ","3,520"
Death Wish,"$30,000,000 ","2,847"
Alpha,"$51,000,000 ","2,719"
Les Misérables: The Staged Concert,N/A,392
Hail Satan?,N/A,3
Pitch Perfect 3,"$45,000,000 ","3,447"
Darkest Hour,N/A,4
Widows,"$42,000,000 ","2,803"
Blumhouse's Truth or Dare,"$3,500,000 ","3,029"
"Love, Simon","$17,000,000 ","2,402"
Paddington 2,N/A,"3,702"
Uncle Drew,N/A,"2,742"
City of Ghosts,N/A,2
Moka,N/A,1
Inferno,"$75,000,000 ","3,576"
The B-Side: Elsa Dorfman's Portrait Photography,N/A,3
Things to Come,N/A,3
Dawson City: Frozen Time,N/A,N/A
The Handmaiden,N/A,5
The Other Side of Hope,N/A,3
Thelma,N/A,1
The Ex-File 3: The Return of The Exes,N/A,21
Marie Curie: The Courage of Knowledge,N/A,6
Buena Vista Social Club: Adios,N/A,80
Explosion,N/A,33
Irving Berlin's Holiday Inn The Broadway Musical,N/A,N/A
The Last Dalai Lama?,N/A,4
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",N/A,1
Lupin the 3rd: Castle of Cagliostro,N/A,N/A
At Eternity's Gate,N/A,4
Jack Reacher: Never Go Back,"$60,000,000 ","3,780"
Teen Spirit,N/A,4
A Man Called Ove,N/A,9
Restless Creature: Wendy Whelan,N/A,2
Cruel Intentions,"$10,500,000 ",708
Christmas Jars,N/A,N/A
Panipat,N/A,175
Lawrence of Arabia,N/A,661
The Void,N/A,31
The Unknown Girl,N/A,2
Blade of the Immortal,N/A,30
Batla House,N/A,81
CatVideoFest,N/A,1
Gorillaz: Reject False Icons,N/A,N/A
Tyler Perry's Acrimony,N/A,"2,006"
Den of Thieves,N/A,"2,432"
Sherlock Gnomes,"$59,000,000 ","3,662"
First Man,"$59,000,000 ","3,640"
Hereditary,N/A,"2,964"
Exit,N/A,2
12 Strong,N/A,"3,002"
The Climbers,N/A,102
Goosebumps 2: Haunted Halloween,"$35,000,000 ","3,521"
The Russian Five,N/A,36
Breaking In,"$6,000,000 ","2,537"
Red Sparrow,"$69,000,000 ","3,056"
BlacKkKlansman,"$15,000,000 ","1,512"
I Feel Pretty,"$32,000,000 ","3,440"
The Shape of Water,N/A,2
Sicario: Day of the Soldado,"$35,000,000 ","3,055"
Overboard,"$12,000,000 ","1,623"
The Nutcracker and the Four Realms,"$120,000,000 ","3,766"
The Predator,"$88,000,000 ","4,037"
Life of the Party,N/A,"3,656"
A Simple Favor,"$20,000,000 ","3,102"
Maze Runner: The Death Cure,"$62,000,000 ","3,787"
Tag,"$28,000,000 ","3,382"
Bombshell: The Hedy Lamarr Story,N/A,1
Tomb Raider,"$94,000,000 ","3,854"
3 Generations,N/A,6
"Polina, danser sa vie",N/A,2
Nausicaä of the Valley of the Wind,N/A,N/A
Valley of Bones,N/A,300
11-Sep,N/A,425
Whisper of the Heart,N/A,N/A
Widows,"$42,000,000 ","2,803"
13 Minutes,N/A,3
Crazy Rich Asians,"$30,000,000 ","3,384"
Tel Aviv on Fire,N/A,11
Endless Poetry,N/A,2
Manifesto,N/A,1
The Journey,N/A,2
Birds of Passage,N/A,2
Saving Private Ryan,"$70,000,000 ",642
Wild Nights with Emily,N/A,3
David Lynch: The Art Life,N/A,1
Pacific Rim: Uprising,"$150,000,000 ","3,708"
Blockers,"$21,000,000 ","3,379"
The Mule,"$50,000,000 ","2,588"
Instant Family,"$48,000,000 ","3,286"
Skyscraper,"$125,000,000 ","3,782"
Insidious: The Last Key,"$10,000,000 ","3,116"
Book Club,N/A,"2,781"
The House with a Clock in Its Walls,"$42,000,000 ","3,592"
The First Purge,"$13,000,000 ","3,031"
Bumblebee,"$135,000,000 ","3,550"
Game Night,"$37,000,000 ","3,488"
The Spy Behind Home Plate,N/A,1
Night School,"$29,000,000 ","3,010"
Long Day's Journey Into Night,N/A,3
In This Corner of the World,N/A,6
Smallfoot,N/A,"4,131"
The Post,"$50,000,000 ",9
Champion,N/A,31
Marjorie Prime,N/A,6
The Bad Batch,N/A,30
Whose Streets?,N/A,24
Code Geass: Lelouch of the Re;Surrection,N/A,479
Almost Christmas,"$17,000,000 ","2,376"
Mr. Gaga: A True Story of Love and Dance,N/A,2
Embrace: The Documentary,N/A,N/A
"DCI 2019: Big, Loud & Live 16",N/A,N/A
Graduation,N/A,2
Past Life,N/A,4
Take Every Wave: The Life of Laird Hamilton,N/A,1
Everybody's Everything,N/A,29
My Fair Lady,"$17,000,000 ",652
Fiddler: A Miracle of Miracles,N/A,7
La femme de mon frère,N/A,16
The Fortress,N/A,N/A
Grateful Dead Meet-Up 2019,N/A,4
Shadow,N/A,4
The Public,N/A,263
Bethany Hamilton: Unstoppable,N/A,205
Christopher Robin,"$75,000,000 ","3,602"
I Can Only Imagine,"$7,000,000 ","1,629"
Fifty Shades Freed,"$55,000,000 ","3,768"
The Equalizer 2,"$62,000,000 ","3,388"
A Wrinkle in Time,N/A,"3,980"
Rampage,"$120,000,000 ","4,101"
Star Wars: Episode VIII - The Last Jedi,"$317,000,000 ","4,232"
Mary Poppins Returns,"$130,000,000 ","4,090"
Spider-Man: Into the Spider-Verse,N/A,"3,813"
Peter Rabbit,"$50,000,000 ","3,725"
The Nun,"$22,000,000 ","3,876"
Creed II,"$50,000,000 ","3,441"
Spark: A Space Tail,N/A,365
Risk,N/A,34
Mamma Mia! Here We Go Again,"$75,000,000 ","3,317"
The Greatest Showman,"$84,000,000 ","3,006"
Rumble: The Indians Who Rocked The World,N/A,N/A
Ready Player One,"$175,000,000 ","4,234"
Truman,N/A,3
The Adventurers,N/A,17
All I See Is You,"$30,000,000 ",283
Railroad Tigers,N/A,43
California Typewriter,N/A,1
Hubble 3D,N/A,39
Jeremiah Tower: The Last Magnificent,N/A,2
Little Shop of Horrors,N/A,511
1945,N/A,2
American Satan,N/A,55
Crown Heights,N/A,3
The Swindlers,N/A,27
The Breadwinner,N/A,3
Donnie Darko,"$6,000,000 ",21
The Prison,N/A,23
To Kill a Mockingbird,N/A,668
The Least of These: The Graham Staines Story,N/A,440
The White Storm 2: Drug Lords,N/A,54
The Muppet Movie,N/A,N/A
The Ottoman Lieutenant,N/A,216
Dirty Dancing,"$6,000,000 ",650
The Meg,"$130,000,000 ","4,118"
Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000 ","4,163"
Ocean's Eight,"$70,000,000 ","4,145"
The Chaperone,N/A,2
Furie,N/A,14
Crazy Rich Asians,"$30,000,000 ","3,384"
Hotel Transylvania 3: Summer Vacation,"$80,000,000 ","4,267"
Miles Davis: Birth of the Cool,N/A,1
Ralph Breaks the Internet,"$175,000,000 ","4,017"
Halloween,"$10,000,000 ","3,928"
A Quiet Place,"$17,000,000 ","3,508"
Aquaman,N/A,"4,125"
Bohemian Rhapsody,"$52,000,000 ","4,000"
Black Butler: Book of the Atlantic,N/A,N/A
Venom,"$100,000,000 ","4,250"
Roger Waters - Us + Them,N/A,396
Solo: A Star Wars Story,"$275,000,000 ","4,381"
A Star Is Born,"$36,000,000 ","3,686"
Dean,N/A,15
Cezanne et Moi,N/A,2
Gook,N/A,2
Wakefield,N/A,1
Storks,"$70,000,000 ","3,922"
Stalker,N/A,1
The Sky Is Pink,N/A,194
Band Aid,N/A,3
Non-Fiction,N/A,2
Sarkar 3,N/A,107
"I, Daniel Blake",N/A,12
The Game Changers,N/A,N/A
Honeyland,N/A,2
Spirits in the Forest,N/A,276
Joni 75: A Birthday Celebration,N/A,59
Racetime,N/A,86
Raise Hell: The Life & Times of Molly Ivins,N/A,18
I Love Lucy: A Colorized Celebration,N/A,N/A
Patterns of Evidence: Moses Controversy,N/A,855
The Captain,N/A,47
The Church,N/A,252
Where's My Roy Cohn?,N/A,4
Student of the Year 2,N/A,190
More Than Blue,N/A,26
David Crosby: Remember My Name,N/A,4
Chonda Pierce: Unashamed,N/A,N/A
One Piece: Stampede,N/A,541
Ant-Man and the Wasp,N/A,"4,206"
Mission: Impossible - Fallout,"$178,000,000 ","4,386"
Dr. Seuss' The Grinch,"$75,000,000 ","4,141"
Jumanji: Welcome to the Jungle,"$90,000,000 ","3,765"
I Do... Until I Don't,N/A,165
Deadpool 2,"$110,000,000 ","4,349"
Jurassic World: Fallen Kingdom,"$170,000,000 ","4,475"
Incredibles 2,N/A,"4,410"
Avengers: Infinity War,N/A,"4,474"
Loving,N/A,4
Coincidence,N/A,67
God's Own Country,N/A,2
Tom of Finland,N/A,1
Buddies in India,N/A,55
Miss Peregrine's Home for Peculiar Children,"$110,000,000 ","3,522"
My Life as a Zucchini,N/A,2
After the Storm,N/A,6
A Silent Voice: The Movie,N/A,41
Chuck,N/A,4
Dunkirk,"$100,000,000 ",53
Citizen Jane: Battle for the City,N/A,2
Countdown to Canelo vs. Chavez Jr.,N/A,273
Obit.,N/A,N/A
Long Strange Trip - The Untold Story of The Grateful Dead,N/A,56
City Of Rock,N/A,43
Alien,"$11,000,000 ",682
Steel Magnolias,N/A,689
Howl's Moving Castle,N/A,748
Climax,N/A,5
Pearl Jam: Let's Play Two,N/A,5
This Is Not What I Expected,N/A,36
Jesus Is King,N/A,372
A Hidden Life,N/A,5
Transit,N/A,2
Pati Patni Aur Woh,N/A,130
The Fighting Preacher,N/A,28
Woman at War,N/A,5
Kiki's Delivery Service,N/A,753
BlacKkKlansman,"$15,000,000 ","1,512"
Perfect Strangers,N/A,132
Letters From Baghdad,N/A,2
OK Jaanu,N/A,121
Marianne & Leonard: Words of Love,N/A,4
Disney Junior HalloVeen Party!,N/A,N/A
Rush: Cinema Strangiato 2019,N/A,1
Toni Morrison: The Pieces I Am,N/A,4
Between Me and My Mind,N/A,16
Black Panther,N/A,"4,020"
Kung Fu Yoga,"$65,000,000 ",14
BOSTON: An American Running Story,N/A,N/A
I'll Push You: A Real-Life Inspiration,N/A,N/A
Samurai Cop,N/A,N/A
The Accountant,"$44,000,000 ","3,332"
Princess Mononoke,N/A,752
Noah: The Musical,N/A,602
"Love, Kennedy",N/A,19
Luka Chuppi,N/A,139
Bennett's War,N/A,970
The Souvenir,N/A,4
Mortal Engines,N/A,"3,103"
Island of Lemurs: Madagascar,N/A,37
Rebel in the Rye,N/A,4
Playmobil: The Movie,N/A,"2,337"
My Neighbor Totoro,N/A,767
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,N/A,N/A
Western Stars,N/A,345
Chasing Trane: The John Coltrane Documentary,N/A,1
A Gentleman,N/A,135
El Coyote,N/A,N/A
One Piece Film: Gold,N/A,13
Land of Mine,N/A,N/A
No Safe Spaces,N/A,1
Phillauri,N/A,74
DCI 2017 Tour Premeire,N/A,N/A
Duckweed,N/A,27
Journey to the South Pacific,N/A,1
Beach Rats,N/A,3
Nothing to Lose 2,N/A,97
Ek Ladki Ko Dekha Toh Aisa Laga,N/A,193
Sailor Moon R: The Movie: The Promise of the Rose,N/A,145
Song to Song,N/A,4
Los Domirriqueños 2,N/A,53
Kingdom Men Rising,N/A,N/A
High Life,N/A,4
BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,N/A,490
Spirited Away,N/A,765
Chasing the Dragon,N/A,52
Asterix: The Secret of the Magic Potion,N/A,51
Can You Ever Forgive Me?,N/A,5
Pilgrim's Progress,N/A,706
Metallica & San Francisco Symphony - S&M2,N/A,157
All Is True,N/A,4
Once Upon A Time,N/A,51
Fairy Tail: Dragon Cry,N/A,292
Breathe,N/A,4
Raw,N/A,2
Confidential Assignment,N/A,2
Dolores,N/A,1
Phantom Thread,N/A,4
Our President,N/A,1
Kinky Boots: The Musical,N/A,455
El Chicano,N/A,605
The Kid,N/A,268
Destroyer,N/A,3
Born to Be Wild,N/A,206
Brigsby Bear,N/A,3
Fantastic Fungi,N/A,1
Human Flow,N/A,3
Qué León,N/A,34
Waves,N/A,4
Extreme Job,N/A,2
Made for More,N/A,N/A
Samaritan's Purse presents Facing Darkness,N/A,N/A
Under the Sea 3D,N/A,49
Nocturnal Animals,N/A,37
Allied,"$85,000,000 ","3,160"
Bitter Harvest,N/A,127
Red Joan,N/A,4
Tommy's Honour,N/A,167
Faces Places,N/A,5
The Aftermath,N/A,5
Novitiate,N/A,3
Wild Rose,N/A,4
After the Wedding,N/A,5
The Other Side of Heaven 2: Fire of Faith,N/A,205
Pandas,N/A,33
Ben Is Back,N/A,4
Badla,N/A,50
Master,N/A,3
The Midwife,N/A,3
Official Secrets,N/A,4
Chhichhore,N/A,195
Luce,N/A,5
The Wizard of Oz,"$2,777,000 ",681
Battle of Memories,N/A,42
Better Days,N/A,70
Ip Man 4: The Finale,N/A,70
The White Crow,N/A,5
Housefull 4,N/A,315
The Only Living Boy in New York,N/A,15
Jonah: The Musical,N/A,N/A
Wilson,N/A,310
Along With the Gods: The Two Worlds,N/A,17
Titanic,"$200,000,000 ",87
Chris Brown: Welcome To My Life,N/A,N/A
Total Dhamaal,N/A,202
Shubh Mangal Savdhan,N/A,80
Lost in Paris,N/A,1
Walk With Me,N/A,1
3 from Hell,N/A,N/A
Welcome to Marwen,N/A,"1,911"
Gone with the Wind,N/A,717
Faustina: Love and Mercy,N/A,N/A
Super 30,N/A,317
Promare,N/A,54
"My People, My Country",N/A,67
Arctic,N/A,4
The Devotion of Suspect X,N/A,43
Countdown to Canelo vs. Golovkin,N/A,465
Revive Us 2,N/A,N/A
Mubarakan,N/A,128
George Takei's Allegiance,N/A,476
The Exception,N/A,2
Patti Cake$,N/A,14
The Polar Express,"$165,000,000 ",N/A
Jagga Jasoos,N/A,210
Journey to the West: The Demons Strike Back,N/A,67
The Red Turtle,N/A,3
Instant Family,"$48,000,000 ","3,286"
Neruda,N/A,3
Tod@s Caen,N/A,371
May it Last: A Portrait of the Avett Brothers,N/A,8
Kalank,N/A,320
Friends 25th: The One With The Anniversary,N/A,"1,586"
Mark Felt: The Man Who Brought Down The White House,N/A,5
Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000 ","4,163"
Saaho,N/A,381
Frantz,N/A,2
Honey Boy,N/A,4
Bharat,N/A,311
Simmba,N/A,301
Jay and Silent Bob Reboot,N/A,1
Creed II,"$50,000,000 ","3,441"
BTS World Tour: Love Yourself in Seoul,N/A,997
Everybody Knows,N/A,4
Tubelight,N/A,338
Landline,N/A,4
Echo in the Canyon,N/A,2
The Beach Bum,N/A,"1,100"
Last Flag Flying,N/A,4
The Eagle Huntress,N/A,4
Maiden,N/A,6
Terminator 2: Judgment Day,"$102,000,000 ",371
Golmaal Again,N/A,265
Casablanca,"$950,000 ",725
Wonderstruck,N/A,4
Columbus,N/A,2
Viceroy's House,N/A,4
Step,N/A,29
The Trip to Spain,N/A,3
Lucky,N/A,5
Lady Macbeth,N/A,5
Spirited Away,N/A,632
3 idiotas,N/A,349
The Square,N/A,4
Chonda Pierce: Enough,N/A,N/A
Steve McQueen: American Icon,N/A,N/A
Yu-Gi-Oh!: The Dark Side of Dimensions,N/A,381
True to the Game,N/A,461
The Battleship Island,N/A,1
Ne Zha,N/A,66
Pain and Glory,N/A,4
Mission Mangal,N/A,263
Replicas,N/A,"2,329"
Uri: The Surgical Strike,N/A,101
Linda Ronstadt: The Sound of My Voice,N/A,7
The Women's Balcony,N/A,2
The Biggest Little Farm,N/A,5
Brian Banks,N/A,"1,240"
Amazing Grace,N/A,3
Dr. Seuss' The Grinch,"$75,000,000 ","4,141"
Menteur,N/A,89
War,"$21,000,000 ",305
Cold War,N/A,3
The Last Black Man in San Francisco,N/A,7
Bring The Soul: The Movie,N/A,873
Tolkien,N/A,"1,495"
The Sun Is Also a Star,N/A,"2,073"
Pavarotti,N/A,19
The Mustang,N/A,4
The Oscar Nominated Short Films 2019: Documentary,N/A,270
Don't Let Go,"$5,000,000 ",922
The Goldfinch,"$45,000,000 ","2,542"
The Sense of an Ending,N/A,4
Churchill,N/A,215
My Friend Dahmer,N/A,4
Personal Shopper,N/A,4
Wonder Wheel,N/A,5
Julieta,N/A,6
Toni Erdmann,N/A,3
Jane,N/A,3
Mully,N/A,N/A
Inhumans,N/A,393
Twins 2,N/A,192
The Dinner,N/A,505
The Wedding Plan,N/A,8
Genesis: Paradise Lost,N/A,N/A
The Stray,N/A,640
Professor Marston & the Wonder Women,N/A,"1,229"
Sword Art Online The Movie: Ordinal Scale,N/A,578
Youth,N/A,30
A Ghost Story,"$100,000 ",4
Elle,N/A,2
The Comedian,N/A,2
Jolly LLB 2,N/A,173
Arctic Dogs,N/A,"2,844"
Gully Boy,N/A,258
A Taxi Driver,N/A,41
Captive State,N/A,"2,548"
The Wandering Earth,N/A,64
Jexi,N/A,"2,332"
Run the Race,N/A,853
The Current War: Director's Cut,N/A,"1,022"
Mary Queen of Scots,N/A,4
Free Solo,N/A,4
Gloria Bell,N/A,5
Jab Harry Met Sejal,N/A,280
Slamma Jamma,N/A,502
Brittany Runs a Marathon,N/A,5
Penguins,N/A,"1,815"
The Dead Don't Die,N/A,613
Goodbye Christopher Robin,N/A,9
The Post,"$50,000,000 ",9
Menashe,N/A,3
Toilet: A Love Story,N/A,178
The Last Word,N/A,4
Badrinath Ki Dulhania,N/A,152
Everybody Loves Somebody,N/A,333
Free Fire,N/A,"1,070"
The Wall,N/A,540
The Little Hours,N/A,2
Brad's Status,N/A,4
The Patriarch,N/A,312
Serenity,N/A,"2,561"
"Where'd You Go, Bernadette",N/A,"2,404"
No Manches Frida 2,N/A,472
Good Time,N/A,4
Paterson,N/A,4
Apollo 11,N/A,120
A Quiet Passion,N/A,6
Black Christmas,"$5,000,000 ","2,625"
The Best of Enemies,"$10,000,000 ","1,705"
Greta,N/A,"2,411"
Motherless Brooklyn,"$26,000,000 ","1,342"
Holmes & Watson,"$42,000,000 ","2,776"
Dark Waters,N/A,4
Hotel Mumbai,N/A,4
The Lighthouse,N/A,8
Blinded by the Light,N/A,"2,307"
The Lovers,N/A,4
Collide,N/A,"2,045"
The Killing of a Sacred Deer,N/A,4
The Resurrection of Gavin Stone,N/A,890
Jeepers Creepers III,N/A,10
The Salesman,N/A,3
Pokémon the Movie: I Choose You!,N/A,N/A
"I, Tonya",N/A,4
Tulip Fever,N/A,765
LBJ,N/A,659
Do It Like An Hombre,N/A,382
IN OUR HANDS: Battle for Jerusalem,N/A,N/A
Disney's Newsies: The Broadway Musical!,N/A,780
T2 Trainspotting,"$18,000,000 ",5
A Question of Faith,N/A,661
Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,N/A,532
Is Genesis History?,N/A,N/A
My Cousin Rachel,N/A,523
Wolf Warrior 2,"$30,100,000 ",53
Hacksaw Ridge,"$40,000,000 ","2,886"
After,"$14,000,000 ","2,138"
The Kitchen,"$38,000,000 ","2,745"
They Shall Not Grow Old,N/A,N/A
If Beale Street Could Talk,N/A,4
Poms,N/A,"2,750"
A Star Is Born,"$36,000,000 ","3,686"
The Prodigy,"$6,000,000 ","2,530"
Miss Bala,"$15,000,000 ","2,203"
Late Night,N/A,4
Second Act,"$16,000,000 ","2,607"
The Good Liar,"$10,000,000 ","2,439"
Brightburn,"$6,000,000 ","2,607"
Charlie's Angels,"$48,000,000 ","3,452"
Richard Jewell,N/A,"2,502"
Bombshell,N/A,4
Missing Link,N/A,"3,413"
The Kid Who Would Be King,N/A,"3,521"
The Farewell,N/A,4
Unplanned,"$6,000,000 ","1,059"
Cats,"$95,000,000 ","3,380"
UglyDolls,N/A,"3,652"
The Peanut Butter Falcon,N/A,17
Doctor Strange,"$165,000,000 ","3,882"
The Favourite,N/A,4
Leap!,N/A,77
Ingrid Goes West,N/A,3
Colossal,N/A,4
Close Encounters of the Third Kind,"$20,000,000 ",901
Raees,N/A,265
Til Death Do Us Part,N/A,562
An Inconvenient Sequel: Truth to Power,"$1,000,000 ",4
The Oscar Nominated Short Films 2017: Live Action,N/A,206
Trolls,"$125,000,000 ","4,060"
Kedi,N/A,1
Phoenix Forgotten,"$2,800,000 ","1,626"
Their Finest,N/A,4
Table 19,N/A,868
A Monster Calls,N/A,4
Friend Request,"$9,900,000 ","2,573"
Norman,N/A,5
A United Kingdom,N/A,4
Sleight,"$250,000 ",565
Dangal,N/A,331
The Hero,N/A,4
Stronger,N/A,573
The Book of Henry,N/A,579
Jojo Rabbit,N/A,5
Shaft,N/A,"2,952"
Hellboy,"$50,000,000 ","3,303"
Black and Blue,"$12,000,000 ","2,062"
47 Meters Down: Uncaged,"$12,000,000 ","2,853"
Stuber,N/A,"3,050"
Parasite,N/A,3
Booksmart,N/A,"2,505"
A Dog's Journey,N/A,"3,267"
On the Basis of Sex,N/A,33
Fighting with My Family,N/A,4
Judy,N/A,461
Uncut Gems,N/A,5
Countdown,"$6,500,000 ","2,675"
The Art of Racing in the Rain,N/A,"2,765"
Ralph Breaks the Internet,"$175,000,000 ","4,017"
Bohemian Rhapsody,"$52,000,000 ","4,000"
Midsommar,N/A,"2,707"
21 Bridges,"$33,000,000 ","2,665"
Tiger Zinda Hai,"$20,470,000 ",299
Vice,N/A,"2,442"
Happy Death Day 2U,"$9,000,000 ","3,207"
Ready or Not,"$6,000,000 ","2,855"
Call Me by Your Name,N/A,4
A Beautiful Planet,N/A,137
Office Christmas Party,"$45,000,000 ","3,210"
Your Name.,N/A,311
The Florida Project,N/A,4
Molly's Game,N/A,271
20th Century Women,N/A,4
The Man Who Invented Christmas,N/A,626
Paris Can Wait,N/A,4
Suburbicon,N/A,"2,046"
Just Getting Started,"$22,000,000 ","2,161"
Loving Vincent,N/A,1
Lowriders,N/A,295
Collateral Beauty,"$36,000,000 ","3,028"
All Saints,"$2,000,000 ",846
Same Kind of Different as Me,N/A,"1,362"
The Snowman,"$35,000,000 ","1,812"
Child's Play,"$10,000,000 ","3,007"
Spies in Disguise,N/A,"3,502"
Long Shot,N/A,"3,230"
Dragon Ball Super: Broly,N/A,"1,238"
Overcomer,"$5,000,000 ","1,723"
Doctor Sleep,N/A,"3,855"
Cold Pursuit,N/A,"2,630"
Maudie,N/A,4
The Hustle,N/A,"3,007"
The Intruder,"$8,000,000 ","2,222"
Little Women,"$40,000,000 ","3,308"
Crawl,"$13,500,000 ","3,170"
The Mule,"$50,000,000 ","2,588"
Breakthrough,"$14,000,000 ","2,824"
Last Christmas,"$25,000,000 ","3,448"
Queen & Slim,N/A,"1,690"
Birth of the Dragon,N/A,"1,618"
Little,"$20,000,000 ","2,667"
